Variable,Unidades,Tiempo de exposicion (horas),Year,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Minimo,Dias de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estacion
VViento,ms,1,2020,1.5,12928.8,8772,100.0,0,0.0,1.0,5.3,8.1,0.1,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,24,2020,1.5,539.46,366,100.0,0,0.0,1.5,2.1,2.6,0.8,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,1,2020,246.2,1751544.0,8009,91.0,0,0.0,240.2,353.8,359.9,0.0,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,24,2020,267.8,87944.79,334,91.0,0,0.0,264.9,338.1,357.9,37.3,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,1,2020,0.1,779.2,8009,91.0,0,0.0,0.0,0.9,27.9,0.0,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,24,2020,2.3,779.2,334,91.0,0,0.0,0.0,23.5,47.6,0.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,1,2020,907.1,7264980.1,8009,91.0,0,0.0,907.4,910.8,912.5,898.8,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,24,2020,907.1,302972.08,334,91.0,0,0.0,907.1,909.5,910.0,902.5,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,1,2020,190.8,1528307.3,8009,91.0,0,0.0,19.2,787.5,923.8,0.0,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,24,2020,190.8,63716.93,334,91.0,0,0.0,194.2,245.3,261.8,64.6,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,1,2020,28.9,231457.0,8015,91.0,0,0.0,27.9,36.3,39.2,21.3,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,24,2020,28.9,9645.01,334,91.0,0,0.0,29.0,31.0,31.5,25.4,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,24,2020,65.9,45809.91,364,99.0,0,0.0,88.6,353.8,359.4,0.3,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,1,2020,0.3,2692.28,8753,100.0,0,0.0,0.0,2.5,157.0,0.0,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,24,2020,7.4,2692.28,365,100.0,0,0.0,0.0,73.0,249.2,0.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,1,2020,899.0,7430904.3,8266,94.0,0,0.0,899.3,903.4,905.3,888.6,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,24,2020,899.0,309249.6,344,94.0,0,0.0,899.0,901.8,902.6,892.4,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,1,2020,224.2,1962978.7,8756,100.0,0,0.0,4.4,650.0,653.7,0.0,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,24,2020,224.1,81806.69,365,100.0,0,0.0,227.8,264.0,320.0,108.9,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,1,2020,26.7,221361.5,8291,94.0,0,0.0,26.0,33.9,37.2,18.7,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,24,2020,26.7,9208.98,345,94.0,0,0.0,26.8,28.9,29.7,22.8,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,1,2020,1.4,11888.1,8756,100.0,0,0.0,1.0,4.4,6.8,0.0,0,VALLE DEL CAUCA,CALI,Fija
VViento,ms,24,2020,1.4,495.06,365,100.0,0,0.0,1.3,1.9,2.3,0.7,0,VALLE DEL CAUCA,CALI,Fija
PM10,ugm3,24,2020,32.6,10017.43,307,84.0,13,4.23,26.6,84.5,94.8,9.8,13,SANTANDER,BUCARAMANGA,Fija
PLiquida,mm,24,2020,0.2,30.0,127,35.0,0,0.0,0.0,5.0,5.0,0.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,1,2020,902.5,7198507.6,7976,91.0,0,0.0,902.8,906.8,908.6,888.7,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,24,2020,902.5,297835.68,330,90.0,0,0.0,902.5,905.1,905.6,896.6,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,1,2020,25.3,220651.0,8709,99.0,0,0.0,24.9,31.8,35.0,18.5,0,VALLE DEL CAUCA,CALI,Fija
